Repository: TOTAL, Used Space: 314.71 GB
Repository: NPM-maven-cache, Used Space: 0 bytes
Repository: artifactory-build-info, Used Space: 2.66 GB
Repository: auto-trashcan, Used Space: 755.05 MB
Repository: sc-jboss-public-pr-cache, Used Space: 98.32 MB
Repository: NYC-HPD, Used Space: 3.87 GB
Repository: sc-siemens-epiq-snapshot-hr, Used Space: 0 bytes
Repository: RMC-COBRA-NEW, Used Space: 0 bytes
Repository: CI-Automation-Basic-JAVA, Used Space: 0 bytes
Repository: devops, Used Space: 0 bytes
Repository: EXPAP, Used Space: 0 bytes
Repository: msil-bsc-artifact-repo, Used Space: 45.84 MB
Repository: CI-Automation-JAVA-Pipeline-Repay, Used Space: 0 bytes
Repository: InA-accelerator, Used Space: 0 bytes
Repository: parking_app_munich, Used Space: 0 bytes
Repository: QNAP, Used Space: 0 bytes
Repository: msil-crm-artifactory, Used Space: 7.42 GB
Repository: ecommerce1, Used Space: 0 bytes
Repository: bmw-boe, Used Space: 0 bytes
Repository: serverdb, Used Space: 0 bytes
Repository: Test_drivers, Used Space: 0 bytes
Repository: ivy-central-cache, Used Space: 137.71 MB
Repository: npmjs, Used Space: 287 bytes
Repository: redington-snapshots, Used Space: 0 bytes
Repository: forcam, Used Space: 0 bytes
Repository: maruti-fmp-snapshots, Used Space: 0 bytes
Repository: plugins-release, Used Space: 1.68 GB
Repository: nagarro-digital-vault, Used Space: 0 bytes
Repository: ACCNITELLNTL, Used Space: 21.24 GB
Repository: NAGCOEIOT, Used Space: 0 bytes
Repository: MNJ-INS, Used Space: 0 bytes
Repository: sc-maven-central-pr-cache, Used Space: 721.07 MB
Repository: CXF-Apache-cache, Used Space: 0 bytes
Repository: Devops-test, Used Space: 113.02 MB
Repository: Sonar-test, Used Space: 0 bytes
Repository: postbus, Used Space: 0 bytes
Repository: demo-repo-generic, Used Space: 0 bytes
Repository: nagarro-game-practice, Used Space: 0 bytes
Repository: CSX-EOT, Used Space: 0 bytes
Repository: BPC-siemens, Used Space: 45.23 GB
Repository: ecommerce, Used Space: 0 bytes
Repository: sc-siemens-epiq-rg, Used Space: 314 bytes
Repository: CSX-LMS, Used Space: 0 bytes
Repository: SFS, Used Space: 1.06 KB
Repository: ptest, Used Space: 11.22 MB
Repository: Jsw-dealer-app-android, Used Space: 1.24 GB
Repository: NSC-Serverdb, Used Space: 2.94 GB
Repository: smart_parking, Used Space: 0 bytes
Repository: TegrisFire, Used Space: 77.99 GB
Repository: maruti-fmp-dependencies, Used Space: 102.17 MB
Repository: test-artifactory-upgrade, Used Space: 10.24 MB
Repository: nsc_artifacts, Used Space: 0 bytes
Repository: Accelerator-SitecoreSXA, Used Space: 30.93 GB
Repository: BMW, Used Space: 0 bytes
Repository: sample, Used Space: 0 bytes
Repository: ivu_webcc, Used Space: 1.30 GB
Repository: Maven-repo-Pipeline, Used Space: 0 bytes
Repository: test-new, Used Space: 0 bytes
Repository: NYCHPD, Used Space: 9.71 GB
Repository: libs-release-local, Used Space: 435.05 MB
Repository: testSDK, Used Space: 292 bytes
Repository: DevopsLabSession, Used Space: 0 bytes
Repository: cafu, Used Space: 0 bytes
Repository: Accelerator-Drupal, Used Space: 1.64 GB
Repository: siemens-ams-insurance-allocation, Used Space: 0 bytes
Repository: sc-redhat-techpreview-pr-cache, Used Space: 214.75 MB
Repository: HOYHONSP, Used Space: 0 bytes
Repository: redington-dependencies, Used Space: 46.18 KB
Repository: nagarro-training, Used Space: 0 bytes
Repository: libs-snapshot, Used Space: 1.68 GB
Repository: libs-snapshot-local, Used Space: 62.62 MB
Repository: CI_Infrastructure_Verification, Used Space: 0 bytes
Repository: aem-accelerator, Used Space: 0 bytes
Repository: nagarro-digital-vault-npm, Used Space: 40.01 KB
Repository: msil-mi-crm-jfrog-repo, Used Space: 490.84 MB
Repository: ext-snapshot-local, Used Space: 1.12 GB
Repository: plugins-snapshot-local, Used Space: 322 bytes
Repository: eStrategy-resources, Used Space: 0 bytes
Repository: remote-repos, Used Space: 1.68 GB
Repository: smart-parking, Used Space: 178.33 KB
Repository: Mifos-Mobile-Droid, Used Space: 0 bytes
Repository: test, Used Space: 0 bytes
Repository: jmwave, Used Space: 0 bytes
Repository: demo-repo-maven, Used Space: 112.02 MB
Repository: msmp-jfrog-repo, Used Space: 71.01 GB
Repository: Salesforce-Techtonic, Used Space: 0 bytes
Repository: DevopsLabs-test, Used Space: 613.02 MB
Repository: CSX-Mobile, Used Space: 0 bytes
Repository: Lutron-SerenaShades, Used Space: 0 bytes
Repository: AssaAbloyAR, Used Space: 0 bytes
Repository: maruti-fmp-releases, Used Space: 0 bytes
Repository: terraform, Used Space: 371 bytes
Repository: Accelerator-SitecoreJSS, Used Space: 8.55 GB
Repository: SiemensEPIQ, Used Space: 0 bytes
Repository: sc-siemens-epiq-release-hr, Used Space: 977.54 MB
Repository: php-snapshot, Used Space: 0 bytes
Repository: devops-test-1, Used Space: 0 bytes
Repository: DSR-US, Used Space: 1.74 GB
Repository: plugins-snapshot, Used Space: 1.68 GB
Repository: msil-crm-artifactory1, Used Space: 0 bytes
Repository: Maven_central-cache, Used Space: 90.95 MB
Repository: docker, Used Space: 0 bytes
Repository: Rex.smartIra-Andriod, Used Space: 1.05 GB
Repository: s3-bucket, Used Space: 0 bytes
Repository: SiemensFrw-npmjs, Used Space: 0 bytes
Repository: DevopsPortal, Used Space: 0 bytes
Repository: SIEUPSIE, Used Space: 0 bytes
Repository: Salesforce, Used Space: 0 bytes
Repository: harish-repo, Used Space: 497.20 KB
Repository: plugins-release-local, Used Space: 820.99 KB
Repository: NPM-cache, Used Space: 13.09 MB
Repository: RMC-COBRA, Used Space: 0 bytes
Repository: Inditex-sales-commercials, Used Space: 0 bytes
Repository: audiapim, Used Space: 0 bytes
Repository: IOS, Used Space: 10.03 KB
Repository: redington-releases, Used Space: 0 bytes
Repository: CI-Automation-JAVA-Pipeline, Used Space: 64.90 MB
Repository: sample-project, Used Space: 5.09 MB
Repository: ext-release-local, Used Space: 423.97 MB
Repository: jcenter-cache, Used Space: 7.18 GB
Repository: test-gradle, Used Space: 0 bytes
Repository: AAB-Website, Used Space: 0 bytes
Repository: lufthansa.lcag-eportal, Used Space: 92.84 MB
Repository: Jsw-dealer-app, Used Space: 3.98 GB
Repository: a2adriven, Used Space: 0 bytes
Repository: charugarg_3802, Used Space: 25.56 MB
Repository: libs-release, Used Space: 1.69 GB
Repository: nagarro-digital-vault-docker, Used Space: 0 bytes
Repository: Genome, Used Space: 0 bytes
Repository: terraform-test, Used Space: 0 bytes
