uri,created,lastModified,lastDownloaded
http://artifactory.nagarro.local/artifactory/api/storage/CI-Automation-JAVA-Pipeline/com/nagarro/devops-tools/devops/demosampleapplication/1.0.0-SNAPSHOT/demosampleapplication-1.0.0-SNAPSHOT.pom,2021-05-14T02:32:48.746+05:30,2023-10-11T23:41:35.076+05:30,2022-02-18T12:35:02.767+05:30
http://artifactory.nagarro.local/artifactory/api/storage/CI-Automation-JAVA-Pipeline/com/nagarro/devops-tools/devops/demosampleapplication/1.0.0-SNAPSHOT/demosampleapplication-1.0.0-SNAPSHOT.war,2018-01-24T16:20:24.891+05:30,2023-10-11T23:41:34.263+05:30,2023-09-23T05:22:32.871+05:30
http://artifactory.nagarro.local/artifactory/api/storage/Accelerator-SitecoreJSS/Content/Project-788.zip,2022-07-13T11:49:18.324+05:30,2022-07-13T11:49:12.585+05:30,2023-10-05T17:56:26.085+05:30
http://artifactory.nagarro.local/artifactory/api/storage/Accelerator-SitecoreSXA/App_Data-102.zip,2022-01-14T09:52:06.393+05:30,2022-01-14T09:51:59.883+05:30,2023-05-12T16:49:52.297+05:30
http://artifactory.nagarro.local/artifactory/api/storage/ivu_webcc/dist-42.tar.gz,2022-04-29T15:44:41.065+05:30,2023-09-25T09:59:09.358+05:30,
http://artifactory.nagarro.local/artifactory/api/storage/ivu_webcc/dist-43.tar.gz,2022-05-05T20:59:08.759+05:30,2023-09-25T10:17:43.798+05:30,
http://artifactory.nagarro.local/artifactory/api/storage/ivu_webcc/dist-37.tar.gz,2022-10-28T16:16:38.094+05:30,2023-09-22T19:25:16.227+05:30,
http://artifactory.nagarro.local/artifactory/api/storage/ivu_webcc/dist-4.tar.gz,2022-07-30T19:47:38.468+05:30,2023-09-22T19:40:10.165+05:30,
http://artifactory.nagarro.local/artifactory/api/storage/ivu_webcc/dist-34.tar.gz,2022-10-27T12:50:06.940+05:30,2023-09-22T17:56:09.930+05:30,
http://artifactory.nagarro.local/artifactory/api/storage/ivu_webcc/dist-33.tar.gz,2022-10-27T03:34:43.384+05:30,2023-09-22T16:43:55.165+05:30,2023-09-22T17:30:34.229+05:30
http://artifactory.nagarro.local/artifactory/api/storage/ivu_webcc/dist-35.tar.gz,2022-10-27T15:17:55.519+05:30,2023-09-22T18:22:08.473+05:30,
http://artifactory.nagarro.local/artifactory/api/storage/ivu_webcc/dist-36.tar.gz,2022-10-28T13:49:24.463+05:30,2023-09-22T18:55:36.647+05:30,
http://artifactory.nagarro.local/artifactory/api/storage/ivu_webcc/dist-38.tar.gz,2022-04-29T15:17:01.766+05:30,2023-09-24T11:20:22.785+05:30,
http://artifactory.nagarro.local/artifactory/api/storage/ivu_webcc/dist-5.tar.gz,2022-10-03T16:32:40.567+05:30,2023-09-25T10:44:40.089+05:30,
http://artifactory.nagarro.local/artifactory/api/storage/plugins-release-local/org/codehaus/plexus/plexus-compiler-manager/2.7/plexus-compiler-manager-2.7.jar,2016-08-16T16:03:40.142+05:30,2016-08-16T16:03:36.000+05:30,2023-04-25T17:37:19.433+05:30
http://artifactory.nagarro.local/artifactory/api/storage/plugins-release-local/org/codehaus/plexus/plexus-compiler-manager/2.7/plexus-compiler-manager-2.7.pom,2016-08-16T15:35:28.635+05:30,2016-08-16T16:03:36.000+05:30,2023-04-25T17:37:19.257+05:30
http://artifactory.nagarro.local/artifactory/api/storage/plugins-release-local/org/codehaus/plexus/plexus-compiler-javac/2.7/plexus-compiler-javac-2.7.pom,2016-08-16T15:36:04.800+05:30,2016-08-16T15:56:47.000+05:30,2023-04-25T17:37:19.285+05:30
http://artifactory.nagarro.local/artifactory/api/storage/plugins-release-local/org/codehaus/plexus/plexus-compiler-javac/2.7/plexus-compiler-javac-2.7.jar,2016-08-16T15:56:51.244+05:30,2016-08-16T15:56:47.000+05:30,2023-04-25T17:37:19.468+05:30
http://artifactory.nagarro.local/artifactory/api/storage/plugins-release-local/org/codehaus/plexus/plexus-compilers/2.7/plexus-compilers-2.7.pom,2016-08-16T15:53:00.522+05:30,2016-08-16T15:52:55.000+05:30,2023-04-25T17:37:19.311+05:30
http://artifactory.nagarro.local/artifactory/api/storage/plugins-release-local/org/codehaus/plexus/plexus-utils/2.0.4/plexus-utils-2.0.4.pom,2016-08-16T15:54:21.390+05:30,2016-08-16T15:54:17.000+05:30,2023-10-16T15:48:02.630+05:30
