repoKey,usedSpace
artifactory-build-info,2.66 GB
auto-trashcan,755.05 MB
sc-jboss-public-pr-cache,98.32 MB
NYC-HPD,3.87 GB
msil-bsc-artifact-repo,45.84 MB
msil-crm-artifactory,7.42 GB
ivy-central-cache,137.71 MB
npmjs,287 bytes
plugins-release,1.68 GB
ACCNITELLNTL,21.24 GB
sc-maven-central-pr-cache,721.07 MB
Devops-test,113.02 MB
BPC-siemens,45.23 GB
sc-siemens-epiq-rg,314 bytes
SFS,1.06 KB
ptest,11.22 MB
Jsw-dealer-app-android,1.24 GB
NSC-Serverdb,2.94 GB
TegrisFire,77.99 GB
maruti-fmp-dependencies,102.17 MB
test-artifactory-upgrade,10.24 MB
Accelerator-SitecoreSXA,30.93 GB
ivu_webcc,1.30 GB
NYCHPD,9.71 GB
libs-release-local,435.05 MB
testSDK,292 bytes
Accelerator-Drupal,1.64 GB
sc-redhat-techpreview-pr-cache,214.75 MB
redington-dependencies,46.18 KB
libs-snapshot,1.68 GB
libs-snapshot-local,62.62 MB
nagarro-digital-vault-npm,40.01 KB
msil-mi-crm-jfrog-repo,490.84 MB
ext-snapshot-local,1.12 GB
plugins-snapshot-local,322 bytes
remote-repos,1.68 GB
smart-parking,178.33 KB
demo-repo-maven,112.02 MB
msmp-jfrog-repo,71.01 GB
DevopsLabs-test,613.02 MB
terraform,371 bytes
Accelerator-SitecoreJSS,8.55 GB
sc-siemens-epiq-release-hr,977.54 MB
DSR-US,1.74 GB
plugins-snapshot,1.68 GB
Maven_central-cache,90.95 MB
Rex.smartIra-Andriod,1.05 GB
harish-repo,497.20 KB
plugins-release-local,820.99 KB
NPM-cache,13.09 MB
IOS,10.03 KB
CI-Automation-JAVA-Pipeline,64.90 MB
sample-project,5.09 MB
ext-release-local,423.97 MB
jcenter-cache,7.18 GB
lufthansa.lcag-eportal,92.84 MB
Jsw-dealer-app,3.98 GB
charugarg_3802,25.56 MB
libs-release,1.69 GB
