repoKey,usedSpace
NPM-maven-cache,0 bytes
artifactory-build-info,2.66 GB
auto-trashcan,755.05 MB
sc-jboss-public-pr-cache,98.32 MB
NYC-HPD,3.87 GB
sc-siemens-epiq-snapshot-hr,0 bytes
RMC-COBRA-NEW,0 bytes
CI-Automation-Basic-JAVA,0 bytes
devops,0 bytes
EXPAP,0 bytes
msil-bsc-artifact-repo,45.84 MB
CI-Automation-JAVA-Pipeline-Repay,0 bytes
InA-accelerator,0 bytes
parking_app_munich,0 bytes
QNAP,0 bytes
msil-crm-artifactory,7.42 GB
ecommerce1,0 bytes
bmw-boe,0 bytes
serverdb,0 bytes
Test_drivers,0 bytes
ivy-central-cache,137.71 MB
npmjs,287 bytes
redington-snapshots,0 bytes
forcam,0 bytes
maruti-fmp-snapshots,0 bytes
plugins-release,1.68 GB
nagarro-digital-vault,0 bytes
ACCNITELLNTL,21.24 GB
NAGCOEIOT,0 bytes
MNJ-INS,0 bytes
sc-maven-central-pr-cache,721.07 MB
CXF-Apache-cache,0 bytes
Devops-test,113.02 MB
Sonar-test,0 bytes
postbus,0 bytes
demo-repo-generic,0 bytes
nagarro-game-practice,0 bytes
CSX-EOT,0 bytes
BPC-siemens,45.23 GB
ecommerce,0 bytes
sc-siemens-epiq-rg,314 bytes
CSX-LMS,0 bytes
SFS,1.06 KB
ptest,11.22 MB
Jsw-dealer-app-android,1.24 GB
NSC-Serverdb,2.94 GB
smart_parking,0 bytes
TegrisFire,77.99 GB
maruti-fmp-dependencies,102.17 MB
test-artifactory-upgrade,10.24 MB
nsc_artifacts,0 bytes
Accelerator-SitecoreSXA,30.93 GB
BMW,0 bytes
sample,0 bytes
ivu_webcc,1.30 GB
Maven-repo-Pipeline,0 bytes
test-new,0 bytes
NYCHPD,9.71 GB
libs-release-local,435.05 MB
testSDK,292 bytes
DevopsLabSession,0 bytes
cafu,0 bytes
Accelerator-Drupal,1.64 GB
siemens-ams-insurance-allocation,0 bytes
sc-redhat-techpreview-pr-cache,214.75 MB
HOYHONSP,0 bytes
redington-dependencies,46.18 KB
nagarro-training,0 bytes
libs-snapshot,1.68 GB
libs-snapshot-local,62.62 MB
CI_Infrastructure_Verification,0 bytes
aem-accelerator,0 bytes
nagarro-digital-vault-npm,40.01 KB
msil-mi-crm-jfrog-repo,490.84 MB
ext-snapshot-local,1.12 GB
plugins-snapshot-local,322 bytes
eStrategy-resources,0 bytes
remote-repos,1.68 GB
smart-parking,178.33 KB
Mifos-Mobile-Droid,0 bytes
test,0 bytes
jmwave,0 bytes
demo-repo-maven,112.02 MB
msmp-jfrog-repo,71.01 GB
Salesforce-Techtonic,0 bytes
DevopsLabs-test,613.02 MB
CSX-Mobile,0 bytes
Lutron-SerenaShades,0 bytes
AssaAbloyAR,0 bytes
maruti-fmp-releases,0 bytes
terraform,371 bytes
Accelerator-SitecoreJSS,8.55 GB
SiemensEPIQ,0 bytes
sc-siemens-epiq-release-hr,977.54 MB
php-snapshot,0 bytes
devops-test-1,0 bytes
DSR-US,1.74 GB
plugins-snapshot,1.68 GB
msil-crm-artifactory1,0 bytes
Maven_central-cache,90.95 MB
docker,0 bytes
Rex.smartIra-Andriod,1.05 GB
s3-bucket,0 bytes
SiemensFrw-npmjs,0 bytes
DevopsPortal,0 bytes
SIEUPSIE,0 bytes
Salesforce,0 bytes
harish-repo,497.20 KB
plugins-release-local,820.99 KB
NPM-cache,13.09 MB
RMC-COBRA,0 bytes
Inditex-sales-commercials,0 bytes
audiapim,0 bytes
IOS,10.03 KB
redington-releases,0 bytes
CI-Automation-JAVA-Pipeline,64.90 MB
sample-project,5.09 MB
ext-release-local,423.97 MB
jcenter-cache,7.18 GB
test-gradle,0 bytes
AAB-Website,0 bytes
lufthansa.lcag-eportal,92.84 MB
Jsw-dealer-app,3.98 GB
a2adriven,0 bytes
charugarg_3802,25.56 MB
libs-release,1.69 GB
nagarro-digital-vault-docker,0 bytes
Genome,0 bytes
terraform-test,0 bytes
