repoKey,usedSpace
NPM-maven-cache,0 bytes
sc-siemens-epiq-snapshot-hr,0 bytes
RMC-COBRA-NEW,0 bytes
CI-Automation-Basic-JAVA,0 bytes
devops,0 bytes
EXPAP,0 bytes
CI-Automation-JAVA-Pipeline-Repay,0 bytes
InA-accelerator,0 bytes
parking_app_munich,0 bytes
QNAP,0 bytes
ecommerce1,0 bytes
bmw-boe,0 bytes
serverdb,0 bytes
Test_drivers,0 bytes
redington-snapshots,0 bytes
forcam,0 bytes
maruti-fmp-snapshots,0 bytes
nagarro-digital-vault,0 bytes
NAGCOEIOT,0 bytes
MNJ-INS,0 bytes
CXF-Apache-cache,0 bytes
Sonar-test,0 bytes
postbus,0 bytes
demo-repo-generic,0 bytes
nagarro-game-practice,0 bytes
CSX-EOT,0 bytes
ecommerce,0 bytes
CSX-LMS,0 bytes
smart_parking,0 bytes
nsc_artifacts,0 bytes
BMW,0 bytes
sample,0 bytes
Maven-repo-Pipeline,0 bytes
test-new,0 bytes
DevopsLabSession,0 bytes
cafu,0 bytes
siemens-ams-insurance-allocation,0 bytes
HOYHONSP,0 bytes
nagarro-training,0 bytes
CI_Infrastructure_Verification,0 bytes
aem-accelerator,0 bytes
eStrategy-resources,0 bytes
Mifos-Mobile-Droid,0 bytes
test,0 bytes
jmwave,0 bytes
Salesforce-Techtonic,0 bytes
CSX-Mobile,0 bytes
Lutron-SerenaShades,0 bytes
AssaAbloyAR,0 bytes
maruti-fmp-releases,0 bytes
SiemensEPIQ,0 bytes
php-snapshot,0 bytes
devops-test-1,0 bytes
msil-crm-artifactory1,0 bytes
docker,0 bytes
s3-bucket,0 bytes
SiemensFrw-npmjs,0 bytes
DevopsPortal,0 bytes
SIEUPSIE,0 bytes
Salesforce,0 bytes
RMC-COBRA,0 bytes
Inditex-sales-commercials,0 bytes
audiapim,0 bytes
redington-releases,0 bytes
test-gradle,0 bytes
AAB-Website,0 bytes
a2adriven,0 bytes
nagarro-digital-vault-docker,0 bytes
Genome,0 bytes
terraform-test,0 bytes
